Largeur max IC;N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
0.05;48710000;601.97334;[601.948,601.998];88.97223;0.04997;11.460;601.948;601.998;
Temps min [s];N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;4610000;601.96771;[601.886,602.049];89.04094;0.16256;1.020;601.886;602.049;
2;8810000;601.97264;[601.914,602.031];88.97818;0.11751;2.020;601.914;602.031;
4;17210000;601.94721;[601.905,601.989];89.04082;0.08414;4.008;601.905;601.989;
8;34810000;601.98283;[601.953,602.012];89.01051;0.05914;8.001;601.953;602.012;
16;69910000;601.95160;[601.931,601.972];89.03619;0.04174;16.003;601.931;601.972;
32;135510000;601.97177;[601.957,601.987];89.01703;0.02998;32.006;601.957;601.987;
64;282310000;601.96949;[601.959,601.980];89.01301;0.02077;64.003;601.959;601.980;
128;574410000;601.96970;[601.962,601.977];88.99723;0.01456;128.007;601.962;601.977;
256;1148710000;601.97506;[601.970,601.980];88.99557;0.01029;256.018;601.970;601.980;
512;2317310000;601.97005;[601.966,601.974];88.99452;0.00725;512.015;601.966;601.974;
1024;4595510000;601.97029;[601.968,601.973];88.99460;0.00515;1024.013;601.968;601.973;
